"""0,99€ User"" List","""0,99€ Lista"" Utenti"



"Customer Login","Accesso Cliente"
"Registered Customers","Clienti Registrati"
"If you have an account, sign in with your email address.","Se hai un account, accedi con il tuo indirizzo email."
"New Customers","Nuovi Clienti"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","La creazione di un account ha molti vantaggi: controlla più velocemente, mantieni più di un indirizzo, traccia gli ordini e altro ancora."
"Create an Account","Crea un Account"
"Forgot Your Password","Password Dimenticata"
"Please enter your email address below to receive a password reset link.","Inserisci il tuo indirizzo email qui sotto per ricevere un link per reimpostare la password."
"Reset My Password","Reimposta la mia password"
"Back","Indietro"
"Create New Customer Account","Crea un nuovo account cliente"
"Personal Information","Informazioni Personali"
"First Name","Nome"
"Last Name","Cognome"
"Sign Up for Newsletter","Iscriviti alla Newsletter"
"Sign-in Information","Informazioni di Accesso"
"Confirm Password","Conferma Password"
"Address Information","Informazioni Indirizzo"
"Phone Number","Telefono"
"Street Address","Indirizzo"
"Address","Indirizzo"
"City","Città"
"State/Province","Stato/Provincia"
"Please select a region, state or province.","Si prega di selezionare una regione, stato o provincia."
"Zip/Postal Code","Codice Postale"
"Country","Nazione"
"Password Strength:","Efficacia Password:"
"Weak","Debole"
"Minimum length of this field must be equal or greater than 8 symbols. Leading and trailing spaces will be ignored.","La lunghezza minima di questo campo deve essere uguale o maggiore di 8 simboli. Gli spazi iniziali e finali saranno ignorati."
"No Password","Nessuna Password"
"This is a required field.","Questo campo è richiesto."
"My Account","Il mio Account"
"Contact Information","Informazioni di contatto"
"You aren't subscribed to our newsletter.","Non sei iscritto alla nostra newsletter."
"Change Password","Cambia password"
"Default Billing Address","Indirizzo di fatturazione"
"Default Shipping Address","Indirizzo di spedizione"
"Edit Address","Modifica indirizzo"
"Manage Addresses","Gestisci indirizzi"
"Stored Payment Methods","Metodi di pagamento"
"Save","Salva"
"Newsletter Subscription","Sottoscrizione newsletter"
"Subscription option","Opzione sottoscrizione"
"General Subscription","Sottoscrizione generale"
"Default Addresses","Indirizzi predefiniti"
"Change Billing Address","Cambia indirizzo di fatturazione"
"Change Shipping Address","Cambia indirizzo di spedizione"
"Additional Address Entries","Altri indirizzi"
"You have no other address entries in your address book.","Non hai altre voci di indirizzo nella tua rubrica."
"Add New Address","Aggiungi nuovi indirizzo"
"Save Address","Salva indirizzo"
"Go back","Indietro"
"It's a default billing address.","E' l'indirizzo di fatturazione predefinito."
"It's a default shipping address.","E' l'indirizzo di spedizione predefinito."
"Use as my default shipping address","Imposta come indirizzo di spedizione predefinito"
"Use as my default billing address","Imposta come indirizzo di fatturazione predefinito"
"You saved the address.","Indirizzo salvato"
"Delete Address","Elimina indirizzo"
"You deleted the address.","Hai eliminato l'indirizzo."
"We have saved your subscription.","Abbiamo salvato la tua sottoscrizione."
"You are subscribed to ""General Subscription"".","Sei sottoscritto a ""Sottoscrizione generale""."
"We have removed your newsletter subscription.","Abbiamo rimosso la tua sottoscrizione alla newsletter."
"Current Password","Password corrente"
"New Password","Nuova Password"
"Confirm New Password","Conferma nuova password"
"Change Email","Cambia email"
"Change Email and Password","Cambia email e password"
"The password doesn't match this account.","La password non corrisponde a questo account."
"Unable to send mail.","Impossibile inviare email."
"You saved the account information.","Informazioni account aggiornate."
"A customer with the same email already exists in an associated website.","Un cliente con la stessa email esiste già in un sito Web associato."
"%1 and above","%1 e oltre"
"Remove This Item","Rimuovi questo elemento"
"Clear All","Rimuovi tutti"
"Active filters","Filtri attivi"
"There are no billing agreements yet.","Non ci sono ancora accordi di fatturazione."
"Back to products","Torna ai prodotti"
"Items in Cart","elementi nel carrello"
"You added %1 to your shopping cart.","Hai aggiunto %1 al tuo carrello."
"Select Method","Seleziona metodo"
"Method Title","Titolo metodo"
"Carrier Title","Titolo vettore"
"Order History","Cronologia Ordini"
"Edit","Modifica"
"View Order","Visualizza Ordine"
"Contacts","Contatti"
"Cart","Carrello"

"Search results for: '%1'","Ricerca per: '%1'"

"You did not sign in correctly or your account is temporarily disabled.","Non hai eseguito l'accesso correttamente o il tuo account è temporaneamente disabilitato."
"Incorrect CAPTCHA","CAPTCHA errato"
"Too many password reset requests. Please wait and try again or contact %1","Troppe richieste di reimpostazione della password. Si prega di attendere e riprovare o contattare %1"
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Se esiste un account associato a %1, riceverai un'email con un link per reimpostare la tua password."

"Product code:","Codice prodotto:"
"Detail","Dettaglio"
"Quantity","Quantità"
"Add to Cart","Aggiungi al carrello"
"Adding...","Aggiungendo..."
"They might interest you","Potrebbero interessarti"
"In stock","Prodotto disponibile"
"Out of stock","Prodotto non disponibile"

"Sort by","Ordina per"

"Contacts","Contatti"
"Did not find the product you are looking for?","Non hai trovato il prodotto che cerchi?"
"We'll help you!","Ti aiutiamo noi!"
"Name","Nome"
"Company","Azienda"
"Email","Email"
"Telephone","Telefono"
"Attachment","Allegato"
"Message","Messaggio"
"Acceptance","Accettazione"
"Send inquiry","Invia richiesta"
